Asset_Subtype,Component_Name,Component_Type,Service_Criteria_Type
Standard Litter Bin,Bin Main,Main,Main Condition
Standard Litter Bin,Bin Main,Main,Structural Compliance Condition
Standard Litter Bin,Bin Main,Main,Structural Condition
Standard Litter Bin,Bin Main,Main,Surface Damage Condition
Steel,Planter Box Main,Main,Main Condition
Steel,Planter Box Main,Main,Structural Compliance Condition
Steel,Planter Box Main,Main,Structural Condition
Steel,Planter Box Main,Main,Surface Damage Condition
Steel Frame and Cyclone Mesh,Gate Main,Main,Main Condition
Steel Frame and Cyclone Mesh,Gate Main,Main,Structural Compliance Condition
Steel Frame and Cyclone Mesh,Gate Main,Main,Structural Condition
Steel Frame and Cyclone Mesh,Gate Main,Main,Surface Damage Condition
Steel Frame and Cyclone Mesh,Tree Main,Main,Consequence of Failure
Steel Frame and Cyclone Mesh,Tree Main,Main,Likelihood Matrix
Steel Frame and Cyclone Mesh,Tree Main,Main,Likelihood of Failure
Steel Frame and Cyclone Mesh,Tree Main,Main,Likelihood of Impact
Steel Frame and Cyclone Mesh,Tree Main,Main,Risk Rating Matrix
Steel Frame and Mesh Insert,Gate Main,Main,Main Condition
Steel Frame and Mesh Insert,Gate Main,Main,Structural Compliance Condition
Steel Frame and Mesh Insert,Gate Main,Main,Structural Condition
Steel Frame and Mesh Insert,Gate Main,Main,Surface Damage Condition
Steel Frame and Vert Bar,Gate Main,Main,Main Condition
Steel Frame and Vert Bar,Gate Main,Main,Structural Compliance Condition
Steel Frame and Vert Bar,Gate Main,Main,Structural Condition
Steel Frame and Vert Bar,Gate Main,Main,Surface Damage Condition
Steel Frame and Vert Bar,Tree Main,Main,Consequence of Failure
Steel Frame and Vert Bar,Tree Main,Main,Likelihood Matrix
Steel Frame and Vert Bar,Tree Main,Main,Likelihood of Failure
Steel Frame and Vert Bar,Tree Main,Main,Likelihood of Impact
Steel Frame and Vert Bar,Tree Main,Main,Risk Rating Matrix
Steel Rail,Bike Rack Main,Main,Main Condition
Steel Rail,Bike Rack Main,Main,Structural Compliance Condition
Steel Rail,Bike Rack Main,Main,Structural Condition
Steel Rail,Bike Rack Main,Main,Surface Damage Condition
Steel Slot,Bike Rack Main,Main,Main Condition
Steel Slot,Bike Rack Main,Main,Structural Compliance Condition
Steel Slot,Bike Rack Main,Main,Structural Condition
Steel Truss Style,Gate Main,Main,Main Condition
Steel Truss Style,Gate Main,Main,Structural Compliance Condition
Steel Truss Style,Gate Main,Main,Structural Condition
Steel With Fluted Top,Bollard Main,Main,Main Condition
Steel With Fluted Top,Bollard Main,Main,Structural Compliance Condition
Steel With Fluted Top,Bollard Main,Main,Structural Condition
Steel With Fluted Top,Bollard Main,Main,Surface Damage Condition
Stepped Post Top,Pole,Main,Main Condition
Stepped Post Top Pole - Adepole 5.0m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Stepped Post Top Pole - City Streets,LE Light Pole,LE Light Pole,LE Light Pole Condition
Stepped Post Top Pole - City Streets,Pole,Main,Main Condition
Stepped Post Top Pole - Park Lands,LE Light Pole,LE Light Pole,LE Light Pole Condition
Stone Paver on Rigid Concrete Pavement,01 Wearing Course,01 Wearing Course,Main Condition
Stone Paver on Rigid Concrete Pavement,01 Wearing Course,01 Wearing Course,Surface Condition
Stone Paver on Rigid Concrete Pavement,03 Base Course,03 Base Course,Main Condition
Stone Paver on Rigid Concrete Pavement,03 Base Course,03 Base Course,Pavement Subbase Condition
Stone Paver on Rigid Concrete Pavement,04 Working Platform,04 Working Platform,Formation Condition
Stratacell,Stratacell Main,Main,Main Condition
Street Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Street Light,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Street Light,Luminaire,Luminaire,Luminaire Condition
Street Light,Primary Luminaire,Luminaire,Luminaire Condition
Street Light,Primary Luminaire,Luminaire,Main Condition
Street Light,Secondary Luminaire,Luminaire,Luminaire Condition
Street Light - Pendant,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Pendant,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Street Light - Pendant,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Street Light - PLC Light on SAPN Pole,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Prestige,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Prestige,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Street Light - Prestige,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Street Light - Solar,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Traffic,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Traffic,Luminaire,Luminaire,Main Condition
Street Light - Traffic,Primary Luminaire,Luminaire,Luminaire Condition
Street Light - Wall Mounted,LE Luminaire,LE Luminaire,LE Luminaire Condition
Street Light - Wall Mounted,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Street Light Bracket  - 3m Outreach (Tram Corridor),LE Light Pole Bracket,LE Light Pole Bracket,LE Light Pole Bracket Condition
Street Light Pole - 10.5m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - 4.5m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - 6.5m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - 6.5m,Pole,Main,Main Condition
Street Light Pole - 9.5m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - Adepole - 10.5m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - Dual Outreach,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - Dual Outreach - Heritage Style,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - Jeffcott Catenary Style,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Light Pole - Solar,LE Light Pole,LE Light Pole,LE Light Pole Condition
Street Tree,Tree Base Treatment,Ancillary,Ancillary Condition
Street Tree,Tree Base Treatment,Ancillary,Main Condition
Street Tree,Tree grate,Ancillary,Ancillary Condition
Street Tree,Tree grate,Ancillary,Main Condition
Street Tree,Tree Main,Main,Consequence of Failure
Street Tree,Tree Main,Main,Likelihood Matrix
Street Tree,Tree Main,Main,Likelihood of Failure
Street Tree,Tree Main,Main,Likelihood of Impact
Street Tree,Tree Main,Main,Main Condition
Street Tree,Tree Main,Main,Risk Rating Matrix
Street Tree,Tree Pit,Main,Main Condition
Street Tree,Tree Surround,Ancillary,Main Condition
StripDrain,Stormwater Drain Main,Main,Main Condition
SubSurface,Stormwater Drain Main,Main,Main Condition
Swale,Open Channel Main,Main,Main Condition
Swale,Swale Main,Main,Main Condition
Swings,Playground Equipment Main,Main,Main Condition
Tablets,Main,Main,Main Condition
Tactile Play,Playground Equipment Main,Main,Main Condition
Telstra Style Steel Pit,Pit Main,Main,Main Condition
Telstra Style Steel Pit,Pit Main,Main,Pit Condition
Tennis Court,Tennis Main,Main,Main Condition
Tennis Court - Acrylic Surface ,Acrylic Surface,Main,Main Condition
Tennis Court - Acrylic Surface ,Asphalt Layer,Main,Main Condition
Tennis Court - Acrylic Surface ,Rubble Base,Main,Main Condition
Tennis Court - Synthetic Turf Surface,Rubble Base,Main,Main Condition
Tennis Court - Synthetic Turf Surface,Synthetic Turf,Main,Main Condition
Tennis Court - Turf Surface ,Turf Surface,Main,Main Condition
Tennis Net,Tennis Net,Main,Main Condition
Ticket Machines,Main,Main,Main Condition
Timber,Planter Box Main,Main,Main Condition
Torrens River Weir,Control System Hardware,Ancillary,Ancillary Condition
Torrens River Weir,Gate,Koala Crossing Lights,Condition
Torrens Weir Fixing,LE Light Pole,LE Light Pole,LE Light Pole Condition
Town Hall 1800x1800 Pit,SCAT Town Hall Pit,SCAT Town Hall Pit,SCAT Pit Condition
Town Hall Complex,Electrical Services,Electrical,Electrical Condition
Town Hall Complex,Electrical Services,Electrical,Main Condition
Town Hall Complex,Fire Services,Fire,Fire Condition
Town Hall Complex,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Town Hall Complex,Fitout and Fittings,Fitout and Fittings,Main Condition
Town Hall Complex,Hydraulic Services,Hydraulics,Hydraulics Condition
Town Hall Complex,Mechanical Services,Mechanical,Main Condition
Town Hall Complex,Mechanical Services,Mechanical,Mechanical Condition
Town Hall Complex,Roof Structure,Roof,Roof Condition
Town Hall Complex,Technology,Technology,Main Condition
Town Hall Complex,Vertical Transport Services,Transport Service,Transport Condition
Traffic controller,CCTV Equipment Enclosure,Main,Main Condition
Traffic Lantern Assembly,Bike Traffic Lantern - 1 LED,Bike Traffic Lantern - 1 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Bike Traffic Lantern - 2 LED,Bike Traffic Lantern - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Bike Traffic Lantern - 3 LED,Bike Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Bus Traffic Lantern - 1 LED,Bus Traffic Lantern - 1 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Bus Traffic Lantern - 2 LED,Bus Traffic Lantern - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Bus Traffic Lantern - 3 LED,Bus Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 1 LED,Car Arrow Traffic Lantern - 1 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 2 LED,Car Arrow Traffic Lantern - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Car Arrow Traffic Lantern - 3 LED,Car Arrow Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Car Traffic Lantern - 2 LED,Car Traffic Lantern - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Car Traffic Lantern - 3 LED,Car Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Koala Crossing Lights,Koala Crossing Lights,Traffic Signal Assembly Condition
Traffic Lantern Assembly,L2-Car Arrow Traffic Lantern - 3 LED,Car Arrow Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,L2-Pedestrian with Count Down Timer - 2 LED,Pedestrian with Count Down Timer - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,No Right Turn Lantern - 1 LED,No Right Turn Lantern - 1 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Pedestrian - 2 LED,Pedestrian - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Pedestrian with Count Down Timer - 2 LED,Pedestrian with Count Down Timer - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Tram Traffic Lantern - 1 LED,Tram Traffic Lantern - 1 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Tram Traffic Lantern - 2 LED,Tram Traffic Lantern - 2 LED,Traffic Signal Assembly Condition
Traffic Lantern Assembly,Tram Traffic Lantern - 3 LED,Tram Traffic Lantern - 3 LED,Traffic Signal Assembly Condition
Traffic Signal Controller,TS Controller,TS Controller,Controller Condition
Traffic Signal Controller MSB Pod,TS Controller,TS Controller,Controller Condition
Traffic Signal Controller with Top Box RU07,Controller Main,Main,Main Condition
Traffic Signal Controller with Top Box RU07,Top Box,Ancillary,Ancillary Condition
Traffic Signal Controller with Top Box RU07,TS Controller,TS Controller,Controller Condition
Traffic Signal Controller with Top Box RU07,TS Top Box RU07,TS Top Box RU07,Top Box Condition
Traffic Signal Controller with Top Box RU11,CCTV,Ancillary,Ancillary Condition
Traffic Signal Controller with Top Box RU11,Controller Main,Main,Main Condition
Traffic Signal Controller with Top Box RU11,Top Box,Ancillary,Ancillary Condition
Traffic Signal Controller with Top Box RU11,TS Controller,TS Controller,Controller Condition
Traffic Signal Controller with Top Box RU11,TS Top Box RU11,TS Top Box RU11,Top Box Condition
Tram Detector-Induction,Detector Loop,Detector Loop,Detector Loop Condition
Tram Site Loop Pit,Pit Main,Main,Main Condition
Tram Site Loop Pit,Pit Main,Main,Pit Condition
Tree Bud Light,Bud Lighting,Main,Driver Condition
Tree Bud Light,Bud Lighting,Main,Main Condition
Tree Bud Light,Bud Lighting,Main,Overhead Lighting Cable Condition
Tree Bud Light,Luminaire,Luminaire,Luminaire Condition
Tree Bud Light,Luminaire,Luminaire,Main Condition
Tree Bud Light,Pole,Main,Main Condition
Tree Bud Light,Primary Luminaire,Luminaire,Luminaire Condition
Tree Bud Light,Tree Bud Light,Tree Bud Light,Tree Bud Light Condition
Tree Inlet,Tree Inlet Main,Main,Main Condition
Tree Surround,Kerb Main,Main,Main Condition
Tree Surround,Kerb Main,Main,Risk Rating Matrix
Trench Drain,Stormwater Drain Main,Main,Main Condition
TX,Parking Machine Main,Main,Main Condition
Tyre Pump,Bike Rack Main,Main,Main Condition
U Shape,Bike Rack Main,Main,Main Condition
U Shape,Bike Rack Main,Main,Structural Compliance Condition
U Shape,Bike Rack Main,Main,Structural Condition
U Shape,Bike Rack Main,Main,Surface Damage Condition
Unidentified,CCTV Cable and Conduit,Main,Main Condition
Unidentified,CCTV Camera,Main,Main Condition
Uniterrupted Power Supply,Main,Main,Main Condition
Unsealed Rubble Pavement,03 Base Course,03 Base Course,Pavement Subbase Condition
Upark Buildings,Electrical Services,Electrical,Electrical Condition
Upark Buildings,Electrical Services,Electrical,Main Condition
Upark Buildings,Fire Services,Fire,Fire Condition
Upark Buildings,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Upark Buildings,Fitout and Fittings,Fitout and Fittings,Main Condition
Upark Buildings,Hydraulic Services,Hydraulics,Hydraulics Condition
Upark Buildings,Mechanical Services,Mechanical,Mechanical Condition
Upark Buildings,Roof Structure,Roof,Roof Condition
Upark Buildings,Structure,Main,Main Condition
Upark Buildings,Vertical Transport Services,Transport Service,Transport Condition
Uplight,LE Luminaire,LE Luminaire,LE Luminaire Condition
Uplight,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Uplight,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Urban Plinth,Custom Sign Main,Main,Main Condition
Urban Plinth,Custom Sign Main,Main,Structural Compliance Condition
Urban Plinth,Custom Sign Main,Main,Structural Condition
Urban Plinth,Custom Sign Main,Main,Surface Damage Condition
U-Shape,Culvert Main,Main,Main Condition
Valve,Valve Main,Main,Main Condition
Vehicle Detector-Flir,Detector Loop,Detector Loop,Detector Loop Condition
Vehicle Detector-Induction,Detector Loop,Detector Loop,Detector Loop Condition
Vehicle Detector-Patriot,Detector Loop,Detector Loop,Detector Loop Condition
Vehicular Entry Sign,Custom Sign Main,Main,Main Condition
Verges,Streetscape Main,Main,Main Condition
Wall Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Wall Light,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Wall Light - Adelaide Bridge,LE Luminaire,LE Luminaire,LE Luminaire Condition
Wall Light - Adelaide Bridge,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Water Feature,Artwork Lighting Main,Main,Main Condition
Water Feature,Concrete Base,Main,Main Condition
Water Feature,Pond Liner,Main,Main Condition
Water Feature,Water Feature Main,Main,Main Condition
Water Meter,Meter Main,Main,Main Condition
Water Meter,Tree Main,Main,Consequence of Failure
Water Meter,Tree Main,Main,Likelihood Matrix
Water Meter,Tree Main,Main,Likelihood of Failure
Water Meter,Tree Main,Main,Likelihood of Impact
Water Meter,Tree Main,Main,Risk Rating Matrix
Water Play,Concrete Base,Main,Main Condition
Zinc,Planter Box Main,Main,Main Condition
Zip Line,Playground Equipment Main,Main,Main Condition
